0逸闲居士0,2017-01-01,2017年8大智能技术将-网页链接-人工智能-产业链主要由基础设施，核心算法，应用平台（开源平台）和解决方案等环节构成。上游到下游，下游到上游，中间到两端这三种模式正从不同路径共...
0逸闲居士0,2017-01-01,机器之心独家盘点：2016人工智能-领域十大焦点回顾-网页链接-在这方面，随着深度学习在最近几年的突然高速崛起，人工智能的发展已经成为了科技发展中一股不可忽视的巨大力量，甚至有许多学术界和产业界的专业...
0逸闲居士0,2017-01-01,沈越：数码永生-网页链接-有未来学家设想，彻底颠覆人类的科技会有两个，一是人工智能-超越人类的奇点（singularity），二是将个人思想转换为数据，上传至非生物载体取得永生。
tapeti吃肉的小和尚,2017-01-01,中国人工智能-学会通讯2016年第十二期O
Wint-sum,2017-01-01,#萨利机长[电影]#并非所有都可以实现量化人工智能-终究不能超越智能是不是跑偏了|-辉县市-
-奔向梦幻的疆界,2017-01-01,【国际年终特稿：从人工智能-到太空移民，科技如何影响未来生活？】
丑丶小牛,2017-01-01,华为新年献词：销售收入5200亿（备注：按中国全年平均汇率，估计810亿美元左右），他指出展望未来，云计算、物联网、视频、大数据和人工智能-等迅速发展，智能社会即将到来。
大学生创新俱乐部,2017-01-01,人工智能-已来，我们准备好了吗？-网页链接-
当局者清,2017-01-01,FacebookAI研究院主管YannLeCun：人工智能-的原理、技术和未来@手机QQ浏览器-网页链接-
等于27cystin,2017-01-01,【从人工智能-到太空移民科技如何影响未来生活？】
工信布,2017-01-01,#互联网论语#霍金预言：机器吃人时代到来，中产首当其冲！霍金警告：中产阶级将大面积失业！人工智能-和自动化将大量取代中产阶级的工作，导致社会更不平等，还可能引起严重的政治动荡。
火小辉,2017-01-01,用“石头”或者“stone”指代那种坚硬原始的自然物，人类语言本身就是一种代码，写文章其实就是编程，只不过它的语法更为灵活而已。人工智能-，大概类似于用英语汉语等等写那些很灵魂的东西，譬如一首轻灵美妙的诗歌#我这么胡扯你也敢信啊
枯燥不安汇的女子,2017-01-01,【高科技平民化:人工智能-接地气】高科技的平民时代记者陈琳人形机器人Atlas[发展科技的初衷无非是让人们更好地生活，当VR装备、人工智能等高科技摘下高冷面具，科幻般的场景跃入了现实生活]O高科技平民化:人工智能接地气
你闪耀着人工智能的光,2017-01-01,#锤子科技让红包飞#红包出现，两眼放电。小手一抖，红包到手！我刚抽到了@锤子科技的现金红包喔！你也抽个红包开心下吧~|-锤子科技...-已领取1.1元
怦然心动Mars是伪文青,2017-01-01,"\/\/@自动化网官方微博霍金在英国《卫报》一专栏中写道：#工厂自动化#已让众多传统制造业工人失业，人工智能-兴起很可能会让失业潮波及到中产阶级，最后只给人类留下护理、创造和监督工作。”据花旗银行与牛津大学合作在2月公布的报告预测，美国47%的岗位或被机器人代替，英国是35%，中国比例高达77%。-@但斌【霍金警语：中产阶级将大面积失业】霍金警告，人工智能-和自动化将大量取代中产阶级的工作，导致社会更不平等，还可能引起严重的政治动荡。霍金在英国《卫报》一专栏中写道：“工厂自动化已让众多传统制造业工人失业，人工智能兴起很可能会让失业潮波及到中产阶级，最后只给人类留下护理、创造和监督工...展开全文c转发276-评论5--128-<ahref=""\/\/weibo.com\/1249424622\/EkJ359piy?refer_flag=1001030103_"""
清霜-和煦,2017-01-01,2016年是一个黑天鹅之年。无论是阿尔法狗战胜李世石，还是英国脱欧，再或者是特朗普当选美国总统。空气中弥漫着一种不安的味道。我们站在时代的分水岭上，未来是什么看不清楚。...展开全文c
人工智障移动照明设备,2017-01-01,新年没能送姑姑新衣服是我的无能。姑姑灯姐照顾好寮里的孩子们，你们的晴明sama要去炸网易的大楼了
我是大海一滴,2017-01-01,罗胖太厉害了，一个演讲竟然可以通过卫视直播，还是4个多小时！知识使everything变得有力量。牛逼！~！！！英伟达的股价在一年之内竟然上涨了4倍。人工智能-无法阻挡！机器学习无法阻挡！集成学习哈哈先毕业再说
